Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All  Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke
Colorado,2014,1,01/04/2014,416,373,,75,12,,14,33,,,,96,22,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,2,01/11/2014,764,698,,159,16,21,30,59,14,11,16,145,41,,,Suppressed (counts 1-9),,,,,,,,,,
Colorado,2014,3,01/18/2014,702,635,,133,15,31,28,47,,10,10,136,36,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,
Colorado,2014,4,01/25/2014,638,572,,125,16,22,28,53,10,,,129,36,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,5,02/01/2014,725,650,12,153,15,25,27,44,,12,,164,44,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2014,6,02/08/2014,687,613,,129,15,25,24,51,11,15,,146,26,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2014,7,02/15/2014,790,719,11,170,22,25,14,65,10,,,151,34,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,8,02/22/2014,685,602,,136,16,29,12,50,12,,,132,34,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,9,03/01/2014,672,593,,122,19,36,15,49,,11,,145,27,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2014,10,03/08/2014,691,615,,137,21,22,13,47,13,,,130,29,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,11,03/15/2014,687,618,10,138,12,30,13,51,13,10,,132,42,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2014,12,03/22/2014,697,626,,168,15,23,,56,,,,138,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,13,03/29/2014,709,640,,159,19,31,18,58,,,11,131,23,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
Colorado,2014,14,04/05/2014,703,615,,153,11,21,12,49,14,12,,148,37,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2014,15,04/12/2014,646,587,,130,12,23,17,58,,,,145,32,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,16,04/19/2014,723,648,,138,15,30,17,45,14,10,10,170,32,,,Suppressed (counts 1-9),,,,,,,,,,
Colorado,2014,17,04/26/2014,646,575,,125,19,23,,48,,10,,117,33,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2014,18,05/03/2014,652,587,11,140,19,20,12,41,,,,139,37,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,19,05/10/2014,708,624,,139,16,27,10,47,,,12,133,28,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
Colorado,2014,20,05/17/2014,654,583,10,153,,25,,39,13,,,121,39,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,21,05/24/2014,683,610,,150,19,26,11,46,,10,,120,31,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2014,22,05/31/2014,675,595,,155,17,25,13,46,,12,10,120,31,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,
Colorado,2014,23,06/07/2014,623,539,,137,,19,11,37,,,,112,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,24,06/14/2014,674,587,,142,18,23,,44,10,,,137,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,25,06/21/2014,654,567,,134,15,17,,42,,,,125,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,26,06/28/2014,661,582,,147,11,15,13,46,,,,133,26,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,27,07/05/2014,681,585,11,151,18,19,,42,,,,138,30,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,28,07/12/2014,650,566,11,135,17,27,10,39,10,,11,127,29,,,,,,,,,,Suppressed (counts 1-9),,,
Colorado,2014,29,07/19/2014,620,550,,120,19,29,,38,12,,,126,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,30,07/26/2014,626,545,,151,,17,,32,,,,125,33,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
