Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Colorado,2019,1,2019-01-05,836,744,11,172,22,40,17,42,17,12,,190,50,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Colorado,2019,2,2019-01-12,831,744,13,150,20,37,17,57,,14,,180,44,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Colorado,2019,3,2019-01-19,827,718,11,149,21,44,11,57,12,14,,176,36,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Colorado,2019,4,2019-01-26,768,691,11,152,30,39,12,54,16,,,151,48,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Colorado,2019,5,2019-02-02,783,698,11,162,23,42,15,55,15,10,,144,40,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Colorado,2019,6,2019-02-09,794,700,,166,29,45,18,44,,15,,160,31,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Colorado,2019,7,2019-02-16,853,752,15,157,22,31,21,57,17,19,,176,39,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Colorado,2019,8,2019-02-23,810,719,,141,27,32,23,56,14,,,166,41,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Colorado,2019,9,2019-03-02,812,732,,175,23,33,,57,20,10,,153,47,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Colorado,2019,10,2019-03-09,840,754,10,156,22,36,22,61,13,12,,180,39,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
