Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
09/27/2023,Colorado,2020,1,2020-01-04,854,758,,157,19,33,,53,20,13,,177,47,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,2,2020-01-11,872,773,,176,25,41,16,48,,11,,168,47,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,3,2020-01-18,848,752,10,185,21,30,16,61,13,12,,164,49,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,4,2020-01-25,853,751,,180,21,39,27,60,21,17,,147,40,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,5,2020-02-01,793,707,,162,17,44,11,47,,11,,146,52,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,6,2020-02-08,847,755,,177,26,43,17,59,15,10,,155,35,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,7,2020-02-15,807,704,11,168,15,47,14,52,18,10,,133,41,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,8,2020-02-22,881,759,,179,28,39,10,49,10,18,,160,56,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,9,2020-02-29,842,742,,163,18,39,19,67,,,,163,41,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,10,2020-03-07,821,718,,150,21,33,16,57,12,,,155,44,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,11,2020-03-14,822,715,10,162,19,39,15,54,,13,,151,43,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2020,12,2020-03-21,891,781,16,169,29,37,22,60,14,12,,155,40,17,12,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,13,2020-03-28,860,779,10,152,13,55,21,58,16,,,170,44,47,45,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,14,2020-04-04,967,890,18,177,26,51,16,52,18,12,,156,42,129,124,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,15,2020-04-11,1096,987,11,167,28,47,13,50,22,,,175,39,214,202,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,16,2020-04-18,1106,1003,,172,26,65,,65,11,15,,176,49,218,197,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,17,2020-04-25,1067,949,,170,24,54,11,55,,11,,157,37,224,211,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,18,2020-05-02,999,890,,147,11,39,10,43,14,,,163,44,189,174,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,19,2020-05-09,906,784,,129,27,33,,36,13,,,154,41,139,127,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,20,2020-05-16,887,775,,158,20,43,,50,15,,,142,48,97,81,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,21,2020-05-23,847,747,12,140,23,29,,36,,,,184,39,93,79,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,22,2020-05-30,834,724,,144,19,34,,47,14,,0,139,45,75,66,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
09/27/2023,Colorado,2020,23,2020-06-06,820,706,,143,22,41,,44,10,,,144,30,63,49,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,24,2020-06-13,816,707,,147,23,32,,49,14,,,152,35,59,48,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,25,2020-06-20,863,747,,156,14,27,,48,18,10,,160,40,38,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,26,2020-06-27,877,742,11,162,27,41,,40,12,,,174,45,22,15,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,27,2020-07-04,788,682,,140,19,36,,29,14,,,153,47,25,23,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,28,2020-07-11,815,692,,137,23,47,,42,12,,,151,42,28,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,29,2020-07-18,808,683,,167,28,39,,42,11,12,,130,45,43,31,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,30,2020-07-25,833,707,,161,15,47,10,36,,,,150,54,33,27,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,31,2020-08-01,813,701,,159,21,33,,41,,,,154,38,36,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,32,2020-08-08,841,723,11,160,20,46,,45,,,10,146,39,39,34,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
09/27/2023,Colorado,2020,33,2020-08-15,836,710,10,144,23,35,,45,10,,,160,38,28,23,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,34,2020-08-22,863,735,10,151,22,40,,50,12,13,10,170,26,19,15,,,,,,,Suppressed (counts 1-9),,,,,,,,
09/27/2023,Colorado,2020,35,2020-08-29,817,708,,162,17,34,,40,,,,140,53,29,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
