"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2017","AQS","080010008","2","22.2","ug/m3 LC","75","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/22/2017","AQS","080010008","2","5.1","ug/m3 LC","28","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/25/2017","AQS","080010008","2","4.9","ug/m3 LC","27","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/31/2017","AQS","080010008","2","6.9","ug/m3 LC","38","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/06/2017","AQS","080010008","2","7.2","ug/m3 LC","40","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/12/2017","AQS","080010008","2","3","ug/m3 LC","17","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/18/2017","AQS","080010008","2","9.2","ug/m3 LC","51","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/24/2017","AQS","080010008","2","3.8","ug/m3 LC","21","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"03/02/2017","AQS","080010008","2","6.7","ug/m3 LC","37","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"03/08/2017","AQS","080010008","2","4.9","ug/m3 LC","27","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
